case_id,method,mode,edema_dice,wt_dice,tc_dice,et_dice,mean_fg_dice,abs_edema_volume_error,edema_fp,edema_fn,enhancing_volume_change,necrosis_volume_change,wt_volume_change,n_edited_voxels,mean_abs_gate,perturbation_rms,cosine_d_learned_d_initial,scale,runtime_s,tuned_alpha_probe,tuned_alpha_output,tuned_logit_bias
BraTS2021_01464,A_baseline,baseline,0.6677145551718521,0.809061488673345,0.8610729023388546,0.9137199434233205,0.8141691336446758,1420,1767,347,0.0,0.0,0.0,0,0.0,0.0,0.9990473985671997,0.6630221009254456,1.1541504168417305,0.5,-0.5,0.5
BraTS2021_01464,B_global_probe,global_probe,0.6800648298222365,0.821499230600328,0.8606557377053939,0.9149835603573744,0.8185680426283349,1228,1601,373,4.3505859375,14.40252685546875,-256.3486328125,0,0.0,0.16589242219924927,0.9990473985671997,0.6630221009254456,1.1529817909467965,0.5,-0.5,0.5
BraTS2021_01464,C_global_output,global_output,0.7362755651242622,0.8677950053262304,0.8681739130439368,0.9230769230772906,0.8425088004151632,632,1051,419,-44.588134765625,-20.19287109375,-1031.5234375,0,0.0,0.9489872455596924,0.9990473985671997,0.6630221009254456,1.137807625113055,0.5,-0.5,0.5
BraTS2021_01464,D_logit_bias,logit_bias,0.6470145886604798,0.7898771395570829,0.8601252609608208,0.9114285714289931,0.8061894736834313,1707,2027,320,-18.84423828125,-17.871337890625,368.36181640625,0,0.0,0.25,0.9990473985671997,0.6630221009254456,1.1278623749967664,0.5,-0.5,0.5
BraTS2021_01464,F_proposed,proposed,0.7055854643342773,0.84080615942047,0.8635734072026885,0.9151256519681596,0.8280948411683751,1002,1376,374,-14.7027587890625,-12.580902099609375,-475.96337890625,16329,0.12837666273117065,0.07802373170852661,0.9990473985671997,0.6630221009254456,1.0365860420279205,0.5,-0.5,0.5
BraTS2021_01464,E_random_00,random_gated,0.66065879428269,0.8036383092564968,0.859401856308493,0.9131255901798248,0.8110620802570025,1494,1839,345,-2.953369140625,6.51568603515625,73.39501953125,16329,0.12837666273117065,0.02188456431031227,0.9990473985671997,0.6630221009254456,2.191179708112031,0.5,-0.5,0.5
BraTS2021_01464,E_random_01,random_gated,0.661397799473638,0.8032944699970014,0.8611878453043468,0.9133932796975229,0.8119929748251692,1511,1848,337,-9.595703125,-5.03082275390625,78.98681640625,16329,0.12837666273117065,0.014077150262892246,0.9990473985671997,0.6630221009254456,2.1910116670187563,0.5,-0.5,0.5
BraTS2021_01464,E_random_02,random_gated,0.6688700031481447,0.8098066745870938,0.8612736660934207,0.9132075471702207,0.8144504054705953,1412,1758,346,-0.4429931640625,-2.25335693359375,-13.49853515625,16329,0.12837666273117065,0.006276478059589863,0.9990473985671997,0.6630221009254456,2.2015602078754455,0.5,-0.5,0.5
BraTS2021_01464,E_random_03,random_gated,0.6837412870810767,0.823101509974845,0.8608815427002036,0.9131255901798248,0.8192494733203683,1227,1589,362,-3.76123046875,-2.130859375,-225.7724609375,16329,0.12837666273117065,0.031089486554265022,0.9990473985671997,0.6630221009254456,2.202504917047918,0.5,-0.5,0.5
BraTS2021_01464,E_random_04,random_gated,0.6726984126989323,0.8131581804366375,0.8622466506359937,0.9148235294121655,0.8165895309156972,1358,1710,352,4.9234619140625,-1.49969482421875,-72.84912109375,16329,0.12837666273117065,0.014977268874645233,0.9990473985671997,0.6630221009254456,2.190965124871582,0.5,-0.5,0.5
