case_id,alpha,perturbation_rms,edema_dice,wt_dice,tc_dice,et_dice,mean_fg_dice,hard_edema_voxels,soft_edema,soft_enhancing,soft_necrosis,soft_wt
BraTS2021_01464,-16,2.8284270763397217,0.007093725598287184,0.010930181640228293,0.7324870709932652,0.7995482778102793,0.5130430248006105,694201,663654.3125,732.1414794921875,76.8898696899414,664463.375
BraTS2021_01464,-12,2.1213202476501465,0.018356989633121122,0.028297482939299033,0.8330479452061942,0.86836518046779,0.5732567051023684,265111,356073.84375,1074.5018310546875,179.07382202148438,357327.4375
BraTS2021_01464,-8,1.4142135381698608,0.24826226787050093,0.3496561210456902,0.8767772511853208,0.9051987767588929,0.6767460986049049,16807,51074.59375,1097.923828125,298.2237243652344,52470.7421875
BraTS2021_01464,-6,1.0606601238250732,0.374779682743651,0.5043984390505295,0.8744785741377532,0.9123505976099983,0.7205362848304674,10011,19085.78515625,1067.0751953125,355.28192138671875,20508.142578125
BraTS2021_01464,-4,0.7071067690849304,0.5007115489879576,0.6412200876309055,0.8752286864256303,0.9185763042422302,0.7648388465519393,6664,9278.70703125,1059.691650390625,411.62554931640625,10750.0244140625
BraTS2021_01464,-3,0.5303300619125366,0.5514110429453357,0.6945866861743831,0.8700646087585425,0.9189189189193102,0.7801315235410629,5679,7141.517578125,1062.8917236328125,439.4906005859375,8643.8994140625
BraTS2021_01464,-2,0.3535533845424652,0.598378378378921,0.7408855439353524,0.8661250441544821,0.9143130684542158,0.7929388303292063,4929,5781.560546875,1068.9532470703125,466.95562744140625,7317.46875
BraTS2021_01464,-1,0.1767766922712326,0.6351015636422108,0.7773771505101705,0.8617318435759018,0.9105613701241172,0.8024649257807432,4372,4857.9150390625,1076.75927734375,494.2594909667969,6428.93408203125
BraTS2021_01464,0,0.0,0.6677145551718521,0.809061488673345,0.8610729023388546,0.9137199434233205,0.8141691336446758,3891,4186.296875,1085.3758544921875,522.0986938476562,5793.771484375
BraTS2021_01464,1,0.1767766922712326,0.6939872354724655,0.8357840386128231,0.8582064297805136,0.9130841121499389,0.8217592591343061,3483,3665.1748046875,1093.9715576171875,551.3824462890625,5310.52880859375
BraTS2021_01464,2,0.3535533845424652,0.7168252828160948,0.8608776844072584,0.8509503167727545,0.9091751621876313,0.8256502539254935,3098,3238.537109375,1101.7657470703125,583.0773315429688,4923.38037109375
BraTS2021_01464,3,0.5303300619125366,0.7328127975628779,0.878495660559452,0.8472906403945901,0.9059907834105715,0.8286980737893465,2780,2874.330810546875,1108.09228515625,618.3773803710938,4600.80029296875
BraTS2021_01464,4,0.7071067690849304,0.740309299056557,0.8908752327748096,0.8433029908977786,0.9059201468567879,0.8298441456037079,2508,2550.9794921875,1112.501708984375,659.085693359375,4322.56689453125
BraTS2021_01464,6,1.0606601238250732,0.7439461883413813,0.9115288550020881,0.8338099777571216,0.9093419236083325,0.8290326965689451,1989,1961.0401611328125,1114.7548828125,767.8502197265625,3843.645263671875
BraTS2021_01464,8,1.4142135381698608,0.6890459363965445,0.9098201936377458,0.8059975520201775,0.9071593533491586,0.800734280588627,1491,1366.435302734375,1107.380859375,931.1016235351562,3404.917724609375
BraTS2021_01464,12,2.1213202476501465,0.14553638409922906,0.7902639481590165,0.7243922425574313,0.9143398012308834,0.5947561426291813,195,325.14410400390625,1060.082763671875,1290.1839599609375,2675.4111328125
BraTS2021_01464,16,2.8284270763397217,0.0016174686655818138,0.7600973236013624,0.7118093174439009,0.9135082604474563,0.5423116821856463,2,26.82202911376953,993.2634887695312,1405.8736572265625,2425.95947265625
BraTS2021_01245,-16,2.8284270763397217,0.026428074660264825,0.03261270397346282,0.2759152215827518,0.5520995334404969,0.28481427656117114,682435,653760.75,570.4315185546875,6.957016944885254,654338.1875
BraTS2021_01245,-12,2.1213202476501465,0.06629915310501035,0.08213571731790556,0.3557498318784272,0.6195652173936016,0.3472047341256797,263465,353481.0625,1148.9208984375,108.79701232910156,354738.8125
BraTS2021_01245,-8,1.4142135381698608,0.5881786610736209,0.6673510673632456,0.5827552031724906,0.6036866359465267,0.5915401667308794,19905,50975.171875,1591.3404541015625,689.6973266601562,53256.21484375
BraTS2021_01245,-6,1.0606601238250732,0.6653878231861279,0.7387879206690143,0.6505441354299667,0.5704997968323019,0.6288105851494654,14802,22283.8984375,1798.303955078125,1217.922119140625,25300.125
BraTS2021_01245,-4,0.7071067690849304,0.7022731650935743,0.7711187000413664,0.6268910419860159,0.5324483775828449,0.6205375282208117,11586,13507.380859375,1998.963623046875,1787.07373046875,17293.41796875
BraTS2021_01245,-3,0.5303300619125366,0.7086702835501543,0.7805312475800432,0.6030534351151351,0.513761467891624,0.6084950621856378,10360,11405.8408203125,2083.65576171875,2051.70947265625,15541.2060546875
BraTS2021_01245,-2,0.3535533845424652,0.7093330457757538,0.786855280934679,0.5819610213029431,0.49965963240469824,0.5969845664944651,9369,9915.736328125,2153.017822265625,2295.38134765625,14364.13671875
BraTS2021_01245,-1,0.1767766922712326,0.7046972269384807,0.7896946720476989,0.5660982364093192,0.4926372155304798,0.5878108929594266,8492,8762.234375,2205.6005859375,2519.9677734375,13487.8046875
BraTS2021_01245,0,0.0,0.6960614907944372,0.7912905382815985,0.5486354093778185,0.4822368421069663,0.5756445807597407,7605,7802.771484375,2241.169921875,2729.049560546875,12772.990234375
BraTS2021_01245,1,0.1767766922712326,0.683755366142174,0.7908307009306792,0.5350197198428737,0.4767822105968712,0.5651857655273064,6895,6959.11669921875,2260.20458984375,2925.594970703125,12144.916015625
BraTS2021_01245,2,0.3535533845424652,0.6684856753071731,0.788505145648095,0.523676880223473,0.47166123778673724,0.5546079311057944,6215,6182.7177734375,2263.51123046875,3112.43896484375,11558.66796875
BraTS2021_01245,3,0.5303300619125366,0.6446707399866635,0.782593187087666,0.5136399064698446,0.4712793733698718,0.54319667327546,5552,5441.1181640625,2251.804931640625,3292.53369140625,10985.45703125
BraTS2021_01245,4,0.7071067690849304,0.6116691600772162,0.7714390199306219,0.5046562061493753,0.47070441079831893,0.5290099256749702,4859,4714.4638671875,2225.489990234375,3467.8076171875,10407.76171875
BraTS2021_01245,6,1.0606601238250732,0.5069593573534502,0.7345989926386407,0.4874303405579103,0.4733446519542501,0.4892447832885369,3395,3281.88134765625,2130.8681640625,3802.1416015625,9214.890625
